editor_name_BWS,query_article_BWS,article_id_BWS,TOP-K_BWS,Score_BWS,editor_name_BM25,query_article_BM25,article_id_BM25,TOP-K_BM25,Score_BM25
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220302_6D4E5FFAA4,8,0.0,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220202_CC707934FF,8,17.410299
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220223_D15FB0110C,9,-0.125,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220713_211D121941,9,17.358999
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220511_71668B1344,10,-0.125,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220713_CAAE68A65F,10,17.2575
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220713_211D121941,11,-0.375,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220323_B272A60E63,11,17.169201
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220622_0B5FC98B29,12,-0.5,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220112_5123F1A704,12,16.9986
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220713_CAAE68A65F,13,-0.5,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220511_4CA6D4AD5B,13,16.937
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220216_154FB2A50F,14,-0.625,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220511_71668B1344,14,16.8526
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220112_5123F1A704,15,-1.0,brnada,FALTER_20211222_9E057FCFEF,FALTER_20221012_C21916991D,15,16.3738
brnada,FALTER_20220126_8843A13D9D,FALTER_20220126_5FA47BB63A,1,0.875,brnada,FALTER_20220126_8843A13D9D,FALTER_20211215_AF0C90B712,1,56.319401
brnada,FALTER_20220126_8843A13D9D,FALTER_20220202_98620A8CFE,2,0.875,brnada,FALTER_20220126_8843A13D9D,FALTER_20220126_5FA47BB63A,2,51.508099
brnada,FALTER_20220126_8843A13D9D,FALTER_20220223_F82A34E466,3,0.75,brnada,FALTER_20220126_8843A13D9D,FALTER_20220803_6CB53C4244,3,50.084599
brnada,FALTER_20220126_8843A13D9D,FALTER_20220112_8EAECAFBBC,4,0.625,brnada,FALTER_20220126_8843A13D9D,FALTER_20221019_C7B0CE1462,4,48.638302
brnada,FALTER_20220126_8843A13D9D,FALTER_20220330_73CAF44312,5,0.25,brnada,FALTER_20220126_8843A13D9D,FALTER_20220518_B804602C3C,5,46.939602
brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_BA9781D05E,6,0.125,brnada,FALTER_20220126_8843A13D9D,FALTER_20220330_73CAF44312,6,44.985298
brnada,FALTER_20220126_8843A13D9D,FALTER_20220803_6CB53C4244,7,0.125,brnada,FALTER_20220126_8843A13D9D,FALTER_20220420_E2855BC9AE,7,44.027302
brnada,FALTER_20220126_8843A13D9D,FALTER_20211215_AF0C90B712,8,0.0,brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_40076C3AB9,8,42.636002
brnada,FALTER_20220126_8843A13D9D,FALTER_20220706_2C863FCC5F,9,0.0,brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_BA9781D05E,9,42.302898
brnada,FALTER_20220126_8843A13D9D,FALTER_20221019_C7B0CE1462,10,-0.25,brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_E7A625F5A8,10,41.2491
brnada,FALTER_20220126_8843A13D9D,FALTER_20220420_E2855BC9AE,11,-0.375,brnada,FALTER_20220126_8843A13D9D,FALTER_20220706_2C863FCC5F,11,40.4175
brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_E7A625F5A8,12,-0.625,brnada,FALTER_20220126_8843A13D9D,FALTER_20220112_8EAECAFBBC,12,40.124001
brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_04EB44E2A2,13,-0.75,brnada,FALTER_20220126_8843A13D9D,FALTER_20220223_F82A34E466,13,39.429298
brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_40076C3AB9,14,-0.75,brnada,FALTER_20220126_8843A13D9D,FALTER_20211222_04EB44E2A2,14,37.941002
brnada,FALTER_20220126_8843A13D9D,FALTER_20220518_B804602C3C,15,-0.875,brnada,FALTER_20220126_8843A13D9D,FALTER_20220202_98620A8CFE,15,37.880402
brnada,FALTER_20220223_269DAE0D66,FALTER_20220209_5CA8DCBD6D,1,1.0,brnada,FALTER_20220223_269DAE0D66,FALTER_20220209_5CA8DCBD6D,1,56.3246
brnada,FALTER_20220223_269DAE0D66,FALTER_20220406_EA00DAEC2E,2,0.875,brnada,FALTER_20220223_269DAE0D66,FALTER_20220518_4460B08F42,2,37.361198
brnada,FALTER_20220223_269DAE0D66,FALTER_20220518_4460B08F42,3,0.625,brnada,FALTER_20220223_269DAE0D66,FALTER_20220209_16A18EC699,3,33.9436
brnada,FALTER_20220223_269DAE0D66,FALTER_20220518_4940544DDD,4,0.375,brnada,FALTER_20220223_269DAE0D66,FALTER_20220511_71668B1344,4,31.8834
brnada,FALTER_20220223_269DAE0D66,FALTER_20220216_1011C22CF7,5,0.375,brnada,FALTER_20220223_269DAE0D66,FALTER_20221026_18EA474D13,5,31.561899
brnada,FALTER_20220223_269DAE0D66,FALTER_20220525_04F1FE7FB2,6,0.25,brnada,FALTER_20220223_269DAE0D66,FALTER_20220525_276AE25D1D,6,27.703501
brnada,FALTER_20220223_269DAE0D66,FALTER_20220921_B6B7C27F2B,7,0.25,brnada,FALTER_20220223_269DAE0D66,FALTER_20220202_CC707934FF,7,27.3736
brnada,FALTER_20220223_269DAE0D66,FALTER_20220209_16A18EC699,8,0.0,brnada,FALTER_20220223_269DAE0D66,FALTER_20220406_EA00DAEC2E,8,27.359501
brnada,FALTER_20220223_269DAE0D66,FALTER_20220824_56AF6D9EAD,9,-0.25,brnada,FALTER_20220223_269DAE0D66,FALTER_20220518_4940544DDD,9,26.875799
brnada,FALTER_20220223_269DAE0D66,FALTER_20221026_18EA474D13,10,-0.25,brnada,FALTER_20220223_269DAE0D66,FALTER_20220216_1011C22CF7,10,25.054199
brnada,FALTER_20220223_269DAE0D66,FALTER_20220202_CC707934FF,11,-0.375,brnada,FALTER_20220223_269DAE0D66,FALTER_20220525_04F1FE7FB2,11,23.778
brnada,FALTER_20220223_269DAE0D66,FALTER_20220309_A08F92CAF9,12,-0.5,brnada,FALTER_20220223_269DAE0D66,FALTER_20220921_B6B7C27F2B,12,23.451799
brnada,FALTER_20220223_269DAE0D66,FALTER_20221116_A42AA55DC7,13,-0.625,brnada,FALTER_20220223_269DAE0D66,FALTER_20220309_A08F92CAF9,13,23.3619
brnada,FALTER_20220223_269DAE0D66,FALTER_20220525_276AE25D1D,14,-0.875,brnada,FALTER_20220223_269DAE0D66,FALTER_20220824_56AF6D9EAD,14,23.1614
brnada,FALTER_20220223_269DAE0D66,FALTER_20220511_71668B1344,15,-0.875,brnada,FALTER_20220223_269DAE0D66,FALTER_20221116_A42AA55DC7,15,22.5254
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220302_A898C15939,1,0.75,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220216_154FB2A50F,1,62.070499
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220928_E5DF2B1850,2,0.75,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20211222_96F3A54AA0,2,57.556999
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220216_154FB2A50F,3,0.75,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20221005_F230902738,3,57.095699
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220406_CFF3E4B722,4,0.375,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220921_22135BD9FB,4,55.997601
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220302_19351A344E,5,0.25,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220302_19351A344E,5,55.5839
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20221109_C78F5CC05B,6,0.25,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220323_2D65096906,6,54.868801
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220921_22135BD9FB,7,0.125,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220302_A898C15939,7,53.353802
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220713_038D7E7989,8,0.0,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220223_EB79F5F51E,8,53.144199
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20221102_92EEC85C8A,9,0.0,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20221102_92EEC85C8A,9,52.791401
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220216_0CFAC71764,10,-0.125,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220216_0CFAC71764,10,50.358898
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20221005_F230902738,11,-0.125,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220413_EDC7023A23,11,49.743599
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220223_EB79F5F51E,12,-0.375,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20221109_C78F5CC05B,12,49.3353
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20211222_96F3A54AA0,13,-0.75,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220406_CFF3E4B722,13,48.584202
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220413_EDC7023A23,14,-0.875,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220928_E5DF2B1850,14,47.876598
